,priority,q_time,consult_time
349,2.0,18.052290637383976,22.479687393073164
351,2.0,26.25411876488488,20.791499005321384
356,1.0,2.4368816828496165,7.969639871813797
352,2.0,7.827315755056134,19.092177857228762
357,1.0,6.472842036887869,10.55387492385671
358,1.0,7.915253181234675,21.386104692743174
359,1.0,12.14154858579559,15.822740724569485
353,2.0,50.51864637727704,9.285125325233821
362,1.0,6.3575996936283445,25.495640519197877
354,2.0,56.89738218763341,18.888275338524636
363,1.0,11.542206635571802,16.390397079369905
360,2.0,45.46468904736594,17.880649526405705
361,2.0,51.27756093090511,17.176802318835144
364,2.0,26.441071790168735,10.809745114788257
347,3.0,141.74734878702384,16.93877741246115
348,3.0,141.25949557011472,17.676593281250916
367,2.0,0.47893216552120066,7.414295101601056
355,3.0,121.00369118493609,10.59027839625469
366,3.0,60.560786980588546,7.342106620106279
365,3.0,60.93739767922034,16.843091250231737
368,3.0,0.0,5.986183724554849
369,2.0,0.0,18.860155825725997
370,3.0,0.0,20.54873986618486
372,3.0,0.0,8.51725409122946
371,2.0,0.0,19.250907595608624
373,1.0,3.5624363458168773,17.52419314025883
374,3.0,0.0,18.14091164993897
375,1.0,0.0,8.582915423026861
376,2.0,0.0,14.579442338467743
377,1.0,0.5883045592245253,12.0288069159119
378,1.0,6.579578103423046,19.562473255029545
379,2.0,10.076321750827447,18.032346750278975
380,2.0,20.117890017912032,15.162275634507296
385,1.0,6.113010960390511,6.654580361459466
382,2.0,11.522113316266768,22.88241255761477
384,2.0,17.938049558094008,4.85470160216164
383,3.0,32.19493560741785,18.211775831728573
381,3.0,44.34373242722586,32.47306552610871
389,1.0,1.8974852668929998,15.182344506605205
388,2.0,27.63993952550618,16.931859936018554
390,2.0,13.043644260394103,22.57026222840659
391,1.0,9.241981794106778,27.285229427210652
386,3.0,66.08993221346964,19.267695344612548
392,3.0,26.322166469365584,9.270099639712498
387,3.0,72.6257359628803,13.525669011760783
393,2.0,0.0,15.664063106556114
394,1.0,0.0,23.73350383835941
395,1.0,6.064565586491426,21.121199666260054
398,1.0,8.74048084374681,22.643448247843935
396,3.0,25.368273915965347,34.53320694957665
399,2.0,13.131810961493557,30.016175040360395
400,1.0,18.053580012786824,18.306531486794483
402,1.0,2.718824273492828,12.121605474143507
401,2.0,11.486546323225411,12.450178206961937
403,1.0,0.0,17.445427702597044
397,3.0,78.98767694024082,31.264222788875486
404,3.0,1.096522819447273,23.014853168022455
405,3.0,0.0,16.910196568791434
407,1.0,0.0,5.28653742800725
408,1.0,4.448020211917537,16.723032578855964
406,1.0,14.316861259396319,35.555354905832246
409,3.0,0.4298106013202414,27.948878570347006
410,2.0,1.4456812636553877,19.191384894867042
414,1.0,7.841822735759706,9.478932717030148
412,2.0,16.688245019846363,10.194249865679012
417,1.0,2.474384711089442,9.664685200404165
413,2.0,23.84471470484914,11.686487604835747
415,2.0,22.41695103235452,11.683903926793391
418,1.0,4.720673507255015,15.487276797025515
419,1.0,9.008269980246041,26.609094548499343
411,3.0,56.10106534924762,20.76691278315502
416,3.0,53.385616369789204,16.778135866143202
420,3.0,24.690260288319223,16.83988257502733
424,2.0,9.779087502025504,14.406056348454513
421,3.0,34.74091516340559,8.608349078328501
426,1.0,2.0302450997105552,27.244091387114167
428,2.0,2.7209396680764257,22.83865769590284
422,3.0,49.83798519583888,21.718887874844768
431,1.0,0.9841960212670529,15.337094578604592
425,3.0,68.97736077371155,10.651499799555495
423,3.0,65.190375012392,23.577286443461162
429,3.0,37.83989089961142,2.745862969848531
427,3.0,51.95985094872049,18.13221087417878
432,2.0,1.963062651943801,19.452814349962864
433,3.0,20.829776785370086,8.691211151967764
430,3.0,46.44217024668433,17.967696687636817
434,3.0,21.210709276838315,4.180625806275202
436,2.0,4.1625988334071735,20.08573280292694
435,3.0,16.091635581095034,19.95537674186835
438,1.0,0.0,6.454855113135636
437,3.0,0.0,25.83291526073208
439,3.0,0.0,12.666414031114982
441,2.0,1.336780834779347,13.309974868993777
440,1.0,5.372526999733054,18.4746324986354
442,2.0,4.1089543554417105,11.566403892672497
444,2.0,5.951083935309725,7.077798941541914
443,3.0,14.61922498561944,11.813693320071252
447,1.0,2.0744941049715635,13.701310340733471
445,3.0,0.0,16.751783901681847
448,3.0,11.891741870203987,18.111752068573878
446,2.0,16.071132747878437,21.76567342199087
449,1.0,17.834320827509146,25.411340519333862
450,2.0,18.998459800641285,23.29857560162145
454,1.0,16.789483965433647,17.787977483471877
452,1.0,21.243163279835244,23.805061605617084
457,1.0,26.133326975140335,0.0
455,1.0,27.591740544622553,24.353312004662257
460,1.0,4.0441074516420485,20.482330473098045
453,2.0,63.29545541092921,11.992697430350745
463,1.0,2.294852367605017,21.893305714415874
464,1.0,8.861893276672163,10.867670165591335
451,3.0,101.36108409307599,9.394521645364875
456,3.0,75.0521572639218,12.94264628199926
465,2.0,3.5626682460197117,2.6336617851320625
458,3.0,56.41220492270713,15.287211796745396
459,3.0,63.549181568703716,26.019406143923334
461,3.0,64.80413820284139,23.2774459099237
462,3.0,72.19809923006869,11.217187736995584
466,3.0,30.812595714830422,15.428981491701961
467,3.0,8.364096227451228,13.835637100794884
468,3.0,15.449242510695512,11.625710766884367
469,1.0,1.031045100963638,27.631950988975404
471,2.0,2.7838119413636377,11.233564802607361
470,1.0,0.0,22.626515797495813
472,2.0,3.3220487815015076,11.245957343103328
473,3.0,0.0,9.591405956923154
474,1.0,0.0,21.62277538557737
475,2.0,4.718093772235989,28.603600824724708
476,1.0,2.4727452238057595,26.86398128001474
478,1.0,9.941930273908838,17.00878324577843
480,1.0,7.913533437870683,22.580863875680734
477,3.0,29.16543298893066,26.43361753478166
481,2.0,18.01327432396556,9.74972425449323
479,3.0,42.9524852118484,21.48101951157514
482,3.0,10.088548911045109,20.25618871270035
483,1.0,18.816543707305755,23.73747636479129
484,1.0,0.0,24.662669997413104
485,1.0,17.19453405805325,18.114712877731108
486,1.0,17.59048456779601,19.246607929698257
488,1.0,2.806304683360395,6.887790804477845
489,2.0,5.457781592820538,13.252937014987765
487,3.0,0.0,24.948420129344413
490,2.0,6.009480721203545,7.809973897275995
491,2.0,6.455673842337092,16.95605380095003
492,2.0,1.4295871427993916,16.166600671898777
493,2.0,9.304891475940167,15.61359284127775
494,1.0,3.264964736102229,19.432515219116794
495,1.0,10.870704694713822,18.733493334170817
497,2.0,0.0,10.566650687957917
